Numéro de département	Date	Nombre cumulé de cas	Source	Observations
01	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
03	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
07	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
15	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
26	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
38	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
42	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
43	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
63	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
69	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
73	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
74	07/02/2020	0	Médias grand public : pas de cas détecté en Auvergne-Rhône-Alpes jusqu'au 7 février 2020 inclus	aucune
74	08/02/2020	5	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-sur-la-situation-en-haute-savoie-prises-en-charge-de-patients-confirmes-en-auvergne	aucune
74	11/02/2020	5	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-sur-la-situation-en-haute-savoie	aucune
74	12/02/2020	5	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-12-fevrier-en-haute-savoie	aucune
74	27/02/2020	7	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes	aucune
74	02/03/2020	31	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-lundi-2-mars-14h	Incohérence avec le point précédent (5 cas à Contamines le 27/02, maintenant ils parlent de 6)
69	02/03/2020	4	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-lundi-2-mars-14h	aucune
01	02/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-lundi-2-mars-14h	aucune
74	03/03/2020	35	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-mardi-3-mars-12h	Les 6 cas guéris de Contamines ne sont pas comptabilisés dans les 29 cas décrits
69	03/03/2020	4	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-mardi-3-mars-12h	aucune
01	03/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-mardi-3-mars-12h	aucune
73	04/03/2020	2	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-savoie-2-personnes-prises-en-charge-au-ch-de-chambery	aucune
74	04/03/2020	45	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-mercredi-4-mars-10-h	Les 6 cas guéris de Contamines ne sont pas comptabilisés dans les 39 cas décrits
69	04/03/2020	5	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-mercredi-4-mars-10-h	aucune
01	04/03/2020	4	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-mercredi-4-mars-10-h	aucune
26	04/03/2020	2	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-drome	Plus précis que https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-mercredi-4-mars-10-h
01	05/03/2020	4	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-jeudi-5-mars-2020-14h	aucune
26	05/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-jeudi-5-mars-2020-14h	aucune
69	05/03/2020	12	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-jeudi-5-mars-2020-14h	aucune
73	05/03/2020	2	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-jeudi-5-mars-2020-14h	aucune
74	05/03/2020	45	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-jeudi-5-mars-2020-14h	Les 6 cas guéris de Contamines ne sont pas comptabilisés dans les 39 cas décrits
63	05/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-jeudi-5-mars-2020-14h	aucune
07	06/03/2020	2	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-ardeche	aucune
63	06/03/2020	5	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-dans-le-puy-de-dome-0	aucune
42	06/03/2020	1	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-dans-la-loire	aucune
01	06/03/2020	4	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-auvergne-rhone-alpes-6-mars-2020	aucune
26	06/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-auvergne-rhone-alpes-6-mars-2020	aucune
69	06/03/2020	21	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-auvergne-rhone-alpes-6-mars-2020	aucune
73	06/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-auvergne-rhone-alpes-6-mars-2020	aucune
74	06/03/2020	54	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-auvergne-rhone-alpes-6-mars-2020	Les 6 cas guéris de Contamines ne sont pas comptabilisés dans les 48 cas décrits
01	07/03/2020	7	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	aucune
07	07/03/2020	2	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	aucune
26	07/03/2020	16	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	aucune
42	07/03/2020	2	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	aucune
63	07/03/2020	5	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	aucune
69	07/03/2020	32	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	aucune
73	07/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	aucune
74	07/03/2020	64	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	Les 6 cas guéris de Contamines ne sont pas comptabilisés dans les 64 cas décrits
38	07/03/2020	0	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-au-samedi-7-mars-14h	1 cas originaire de l'Île-de-France, mais ayant séjourné en Isère, et hospitalisée à Grenoble : ce cas ne sera plus compté dans les communiqués suivants, donc par cohérence je l'enlève d'ici aussi
01	08/03/2020	8	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	aucune
07	08/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	aucune
26	08/03/2020	16	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	aucune
42	08/03/2020	6	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	aucune
63	08/03/2020	7	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	aucune
69	08/03/2020	44	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	aucune
73	08/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	aucune
74	08/03/2020	67	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-dimanche-8-mars	8 personnes guéries ne sont pas comptabilisées dans les 59 cas décrits
38	09/03/2020	1	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-isere	1 cas originaire de l'Île-de-France, mais ayant séjourné en Isère, et hospitalisée à Grenoble : ce cas ne sera plus compté dans les communiqués suivants, donc par cohérence je l'enlève d'ici aussi
01	09/03/2020	17	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	aucune
07	09/03/2020	6	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	aucune
26	09/03/2020	16	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	La personne décédée est comptabilisée dans les 16 cas décrits
42	09/03/2020	15	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	aucune
63	09/03/2020	9	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	aucune
69	09/03/2020	49	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	La personne décédée est comptabilisée dans les 49 cas décrits
73	09/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	La personne décédée est comptabilisée dans les 3 cas décrits
74	09/03/2020	66	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-point-de-situation-en-en-auvergne-rhone-alpes-9-mars-2020	Incohérence avec les données du 8 mars (ici les 8 personnes guéries sont explicitement comptabilisées dans les 66 cas, or il y avait 67 cas la veille)
01	10/03/2020	23	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	aucune
07	10/03/2020	6	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	aucune
26	10/03/2020	20	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	aucune
38	10/03/2020	3	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	La personne résidant en Île-de-France, mais hospitalisée à Grenoble, n'est pas comptabilisée dans les 3 cas décrits
42	10/03/2020	29	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	aucune
63	10/03/2020	11	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	aucune
69	10/03/2020	60	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	aucune
73	10/03/2020	4	https://www.auvergne-rhone-alpes.ars.sante.fr/covid-19-en-auvergne-rhone-alpes-point-de-situation-mardi-10-mars-2020-15h	aucune
