"date";"code";"nom";"cas";"deces";"guerisons";"source"
"2020-02-21";"P1";"france";"12";"1";"";"Santé Publique France"
"2020-02-22";"P1";"france";"12";"1";"";"Santé Publique France"
"2020-02-23";"P1";"france";"12";"1";"";"Santé Publique France"
"2020-02-24";"P1";"france";"12";"1";"";"Santé Publique France"
"2020-02-25";"P1";"france";"14";"1";"";"Santé Publique France"
"2020-02-26";"P1";"france";"18";"2";"";"Santé Publique France"
"2020-02-27";"P1";"france";"38";"2";"";"Santé Publique France"
"2020-02-28";"P1";"france";"73";"2";"";"Santé Publique France"
"2020-02-29";"P1";"france";"100";"2";"";"Santé Publique France"
"2020-03-01";"P1";"france";"130";"2";"";"Santé Publique France"
"2020-03-02";"P1";"france";"191";"3";"";"Santé Publique France"
"2020-03-03";"P1";"france";"212";"4";"";"Santé Publique France"
"2020-03-04";"P1";"france";"285";"4";"";"Santé Publique France"
"2020-03-05";"P1";"france";"423";"7";"";"Santé Publique France"
"2020-03-06";"P1";"france";"613";"11";"";"Santé Publique France"
"2020-03-07";"P1";"france";"949";"16";"";"Santé Publique France"
"2020-03-08";"P1";"france";"1126";"19";"";"Santé Publique France"
"2020-03-09";"P1";"france";"1412";"30";"";"Santé Publique France"
"2020-03-10";"P1";"france";"1784";"33";"";"Santé Publique France"
"2020-03-11";"P1";"france";"2281";"48";"";"Santé Publique France"
"2020-03-12";"P1";"france";"2876";"61";"";"Santé Publique France"
"2020-03-13";"P1";"france";"3661";"79";"";"Santé Publique France"
"2020-03-14";"P1";"france";"4499";"91";"";"Santé Publique France"
"2020-03-15";"P1";"france";"5423";"127";"";"Santé Publique France"
"2020-03-16";"P1";"france";"6633";"148";"";"Santé Publique France"
"2020-03-17";"P1";"france";"7730";"175";"";"Santé Publique France"
"2020-03-18";"P1";"france";"9134";"244";"";"Santé Publique France"
"2020-03-19";"P1";"france";"10995";"372";"";"Santé Publique France"
"2020-03-20";"P1";"france";"12612";"450";"";"Santé Publique France"
"2020-03-21";"P1";"france";"14459";"562";"";"Santé Publique France"
"2020-03-22";"P1";"france";"16018";"674";"";"Santé Publique France"
"2020-03-23";"P1";"france";"19856";"860";"";"Santé Publique France"
"2020-03-24";"P1";"france";"22302";"1100";"3281";"Santé Publique France"
"2020-03-25";"P1";"france";"25230";"1331";"3900";"Santé Publique France"
"2020-03-26";"P1";"france";"29155";"1696";"4948";"Santé Publique France"
"2020-03-27";"P1";"france";"32964";"1995";"5700";"Santé Publique France"
"2020-03-28";"P1";"france";"37575";"2314";"6624";"Santé Publique France"
"2020-03-29";"P1";"france";"40174";"2606";"7132";"Santé Publique France"
"2020-03-30";"P1";"france";"44550";"3024";"7923";"Santé Publique France"
"2020-03-31";"P1";"france";"52128";"3523";"9444";"Santé Publique France"
"2020-04-01";"P1";"france";"56989";"4403";"10935";"Santé Publique France"
"2020-04-02";"P1";"france";"59105";"5387";"12428";"Santé Publique France"
"2020-04-03";"P1";"france";"64338";"6507";"14008";"Santé Publique France"
"2020-04-04";"P1";"france";"68605";"7560";"15438";"Santé Publique France"
"2020-04-05";"P1";"france";"70478";"8078";"16183";"Santé Publique France"
"2020-04-06";"P1";"france";"74389";"8911";"17250";"Santé Publique France"
"2020-04-07";"P1";"france";"78167";"10328";"19337";"Santé Publique France"
"2020-04-08";"P1";"france";"82048";"10869";"21254";"Santé Publique France"
"2020-04-09";"P1";"france";"86334";"12210";"23200";"Santé Publique France"
"2020-04-10";"P1";"france";"90676";"13197";"24932";"Santé Publique France"
"2020-04-11";"P1";"france";"93790";"13832";"26391";"Santé Publique France"
"2020-04-12";"P1";"france";"95403";"14393";"27186";"Santé Publique France"
"2020-04-13";"P1";"france";"98076";"14967";"27718";"Santé Publique France"
"2020-04-14";"P1";"france";"103573";"15729";"28805";"Santé Publique France"
"2020-04-15";"P1";"france";"106206";"17167";"30995";"Santé Publique France"
"2020-02-19";"P2";"italie";"3";"";"";"Protezione Civile – Données cumulées"
"2020-02-20";"P2";"italie";"3";"";"";"Protezione Civile – Données cumulées"
"2020-02-21";"P2";"italie";"20";"";"";"Protezione Civile – Données cumulées"
"2020-02-22";"P2";"italie";"79";"1";"";"Protezione Civile – Données cumulées"
"2020-02-23";"P2";"italie";"152";"2";"";"Protezione Civile – Données cumulées"
"2020-02-24";"P2";"italie";"229";"7";"";"Protezione Civile – Données cumulées"
"2020-02-25";"P2";"italie";"322";"7";"";"Protezione Civile – Données cumulées"
"2020-02-26";"P2";"italie";"400";"12";"";"Protezione Civile – Données cumulées"
"2020-02-27";"P2";"italie";"650";"14";"";"Protezione Civile – Données cumulées"
"2020-02-28";"P2";"italie";"888";"17";"";"Protezione Civile – Données cumulées"
"2020-02-29";"P2";"italie";"1128";"21";"";"Protezione Civile – Données cumulées"
"2020-03-01";"P2";"italie";"1694";"34";"";"Protezione Civile – Données cumulées"
"2020-03-02";"P2";"italie";"2036";"52";"";"Protezione Civile – Données cumulées"
"2020-03-03";"P2";"italie";"2502";"79";"";"Protezione Civile – Données cumulées"
"2020-03-04";"P2";"italie";"3089";"107";"";"Protezione Civile – Données cumulées"
"2020-03-05";"P2";"italie";"3858";"148";"";"Protezione Civile – Données cumulées"
